NU_INSCRICAO,NO_MUNICIPIO_PROVA,TP_ESCOLA,NU_NOTA_MT,NU_NOTA_REDACAO
587625,Assis,2,603.4,720.0
1452169,Assis,3,488.6,720.0
2353534,Assis,3,721.6,900.0
2195280,Assis,2,415.1,920.0
1064316,Assis,2,444.1,480.0
3382774,Assis,2,428.3,520.0
3035617,Assis,3,689.5,920.0
2579447,Assis,3,598.2,820.0
1073808,Assis,2,414.8,400.0
3797010,Assis,2,725.8,880.0
2190195,Assis,2,756.6,900.0
2118320,Assis,3,635.6,840.0
606441,Assis,2,480.6,520.0
3978265,Assis,3,436.6,520.0
914755,Assis,2,553.2,680.0
1610730,Assis,2,434.1,480.0
1159785,Assis,2,522.7,680.0
3779855,Assis,2,417.3,540.0
594622,Assis,2,479.2,600.0
4289296,Assis,2,376.0,520.0
295645,Assis,2,577.5,480.0
1163643,Assis,2,585.0,820.0
1612660,Assis,2,545.6,480.0
1080277,Assis,2,461.8,0.0
1610935,Assis,2,389.1,480.0
901376,Assis,2,498.7,760.0
4058630,Assis,2,424.9,380.0
3570758,Assis,2,665.6,700.0
3624802,Assis,2,405.7,0.0
2117916,Assis,3,569.6,840.0
3706389,Assis,3,683.7,880.0
2788393,Assis,3,691.9,940.0
2040759,Assis,2,472.2,260.0
1731627,Assis,2,530.7,800.0
1608087,Assis,2,392.4,780.0
1072539,Assis,2,419.7,520.0
2060533,Assis,2,620.2,860.0
955364,Assis,2,503.0,780.0
1063188,Assis,2,506.6,480.0
772163,Assis,3,526.6,700.0
3133990,Assis,3,498.6,820.0
3384624,Assis,2,447.5,680.0
2939655,Assis,2,555.7,700.0
4087532,Assis,2,405.4,620.0
1105864,Assis,2,552.1,780.0
689188,Assis,2,405.3,740.0
2816473,Assis,2,711.4,840.0
2327842,Assis,2,523.0,560.0
572001,Assis,2,456.2,560.0
3972,Assis,2,421.2,620.0
3235212,Assis,2,429.3,600.0
2208875,Assis,2,560.1,580.0
2439403,Assis,2,479.4,620.0
3716477,Assis,2,402.1,460.0
1129306,Assis,2,628.9,800.0
3172839,Assis,2,600.8,840.0
1077126,Assis,2,476.5,680.0
3431661,Assis,2,538.1,580.0
3957515,Assis,2,415.3,760.0
445625,Assis,3,682.5,920.0
1052516,Assis,2,465.2,600.0
2170373,Assis,2,423.0,420.0
1658742,Assis,2,555.7,560.0
202845,Assis,3,507.6,580.0
1278382,Assis,2,752.0,880.0
2415691,Assis,2,439.4,800.0
231232,Assis,2,630.2,940.0
1875626,Assis,2,482.7,740.0
1274988,Assis,2,458.3,280.0
3213373,Assis,2,594.1,880.0
2090647,Assis,2,523.9,620.0
84761,Assis,2,671.3,940.0
2806594,Assis,3,713.1,740.0
694048,Assis,3,596.1,800.0
3940640,Assis,3,728.3,860.0
3229419,Assis,2,642.5,740.0
946679,Assis,2,614.3,680.0
1963164,Assis,3,783.0,680.0
838121,Assis,2,527.1,920.0
1158193,Assis,2,457.8,380.0
1896347,Assis,2,455.3,580.0
472739,Assis,2,619.7,940.0
2350061,Assis,3,563.6,760.0
1090290,Assis,2,393.1,500.0
91782,Assis,3,675.9,780.0
3305191,Assis,2,568.6,560.0
751316,Assis,2,513.0,620.0
1177923,Assis,2,485.0,700.0
1283987,Assis,3,493.7,700.0
1383484,Assis,3,732.6,960.0
940950,Assis,2,489.3,400.0
3263734,Assis,2,408.6,340.0
3387631,Assis,3,489.7,640.0
239652,Assis,3,688.5,800.0
2753469,Assis,2,501.7,720.0
511679,Assis,2,481.6,760.0
1125510,Assis,2,725.0,560.0
409343,Assis,2,733.3,880.0
468382,Assis,2,790.6,720.0
2360783,Assis,3,445.5,640.0
3533164,Assis,3,581.5,620.0
2862569,Assis,2,654.9,620.0
1721257,Assis,2,506.0,920.0
659061,Assis,2,576.6,720.0
1641479,Assis,3,442.3,620.0
1389833,Assis,2,559.8,900.0
838451,Assis,3,502.5,840.0
2046355,Assis,2,698.0,720.0
1056553,Assis,3,679.3,940.0
1083089,Assis,2,684.7,680.0
2503078,Assis,2,408.1,480.0
3842966,Assis,2,583.3,660.0
1060657,Assis,2,404.5,620.0
2036030,Assis,2,653.0,640.0
3146288,Assis,2,482.8,480.0
3088339,Assis,3,658.6,860.0
1796715,Assis,3,602.5,700.0
735787,Assis,2,508.4,660.0
2016981,Assis,2,521.0,720.0
1409890,Assis,2,391.5,680.0
1935137,Assis,2,552.6,740.0
3903016,Assis,2,440.3,580.0
1054795,Assis,2,387.4,520.0
2939439,Assis,3,573.6,520.0
682953,Assis,2,666.8,560.0
2214625,Assis,3,596.3,640.0
2725416,Assis,3,600.2,600.0
2873838,Assis,2,622.4,920.0
1151294,Assis,2,535.7,820.0
3115356,Assis,3,528.3,840.0
3983391,Assis,2,414.0,480.0
456906,Assis,3,816.0,920.0
193515,Assis,2,469.2,640.0
3458589,Assis,2,694.6,680.0
1303695,Assis,2,436.9,760.0
1717302,Assis,2,447.6,0.0
1159773,Assis,2,434.3,620.0
468561,Assis,3,656.0,820.0
754939,Assis,2,430.6,500.0
1591445,Assis,2,618.0,740.0
1258375,Assis,2,450.7,460.0
920408,Assis,2,597.2,660.0
1159779,Assis,2,488.8,500.0
3815204,Assis,2,476.7,840.0
759027,Assis,3,791.4,940.0
1950492,Assis,3,589.3,680.0
1259927,Assis,2,406.7,760.0
3279064,Assis,3,613.3,620.0
2833678,Assis,3,766.1,920.0
3247062,Assis,2,397.7,520.0
2756083,Assis,3,437.6,520.0
2466836,Assis,2,484.5,840.0
3172278,Assis,3,591.9,760.0
2950990,Assis,2,412.5,520.0
3979928,Assis,2,431.3,600.0
2924826,Assis,2,608.4,560.0
2147646,Assis,2,608.1,660.0
3057035,Assis,2,518.4,620.0
612364,Assis,3,519.3,860.0
256998,Assis,3,529.4,800.0
2394577,Assis,2,502.9,460.0
3258559,Assis,2,679.1,760.0
2537396,Assis,2,633.5,880.0
1162425,Assis,2,466.0,320.0
1845177,Assis,2,619.4,580.0
1079924,Assis,2,415.8,580.0
5347,Assis,2,443.8,560.0
3583809,Assis,2,481.2,700.0
2261953,Assis,3,664.8,860.0
1434414,Assis,2,471.9,360.0
15468,Assis,2,480.3,720.0
1913535,Assis,2,589.3,640.0
3312927,Assis,2,440.0,380.0
196137,Assis,2,544.3,640.0
3052122,Assis,3,623.2,780.0
1478583,Assis,3,622.0,820.0
2441219,Assis,2,455.9,840.0
4109205,Assis,2,416.8,500.0
4042503,Assis,2,614.0,660.0
2178195,Assis,3,679.6,940.0
3200880,Assis,2,521.5,580.0
2952329,Assis,2,484.1,540.0
2409209,Assis,2,385.9,580.0
3501527,Assis,2,389.5,460.0
2159870,Assis,2,659.2,600.0
3204398,Assis,2,380.8,660.0
1156650,Assis,2,425.7,640.0
3247436,Assis,2,581.3,640.0
1575066,Assis,2,489.3,520.0
3049780,Assis,2,534.4,720.0
1211307,Assis,2,704.7,700.0
2295926,Assis,2,527.8,680.0
2400918,Assis,2,733.1,720.0
2750214,Assis,3,547.8,780.0
2606412,Assis,2,643.9,580.0
821442,Assis,2,652.5,900.0
2619586,Assis,3,546.4,640.0
773332,Assis,3,656.3,600.0
1177744,Assis,2,415.1,380.0
2627294,Assis,3,740.1,900.0
2680878,Assis,2,383.5,0.0
3736445,Assis,2,717.0,660.0
1955366,Assis,3,717.7,960.0
938945,Assis,2,531.6,640.0
2073652,Assis,2,497.5,620.0
2951890,Assis,2,409.3,540.0
1145994,Assis,2,581.2,800.0
2680342,Assis,3,470.3,520.0
1185710,Assis,2,388.5,580.0
4170309,Assis,2,441.3,600.0
1158553,Assis,2,420.6,360.0
1809853,Assis,2,704.6,780.0
2628706,Assis,2,407.4,600.0
2138442,Assis,2,587.7,520.0
4297755,Assis,3,508.5,760.0
3835702,Assis,2,579.6,640.0
3099954,Assis,2,399.7,260.0
1390113,Assis,3,647.9,860.0
2980532,Assis,2,498.5,380.0
1819271,Assis,2,517.5,720.0
1078340,Assis,2,423.1,0.0
2695488,Assis,2,426.7,560.0
4138717,Assis,2,434.0,600.0
2211497,Assis,3,469.5,800.0
2388744,Assis,2,437.5,500.0
1934228,Assis,2,382.2,680.0
276605,Assis,3,546.0,840.0
2195075,Assis,3,620.4,700.0
1732082,Assis,2,416.8,800.0
2191948,Assis,2,648.8,380.0
3305935,Assis,2,563.4,440.0
4240373,Assis,2,455.7,520.0
654172,Assis,3,823.5,880.0
3637627,Assis,2,427.1,440.0
60677,Assis,2,495.0,640.0
1720146,Assis,2,664.8,620.0
3859777,Assis,2,472.6,620.0
3346467,Assis,2,625.1,780.0
1078990,Assis,2,585.6,640.0
17300,Assis,2,657.2,940.0
3291277,Assis,2,409.8,300.0
2950582,Assis,2,395.9,540.0
1150781,Assis,2,395.6,520.0
554349,Assis,2,654.3,580.0
1336770,Assis,2,531.6,480.0
2590827,Assis,2,579.2,620.0
747473,Assis,2,561.1,720.0
2474093,Assis,2,389.9,560.0
3308348,Assis,2,450.2,680.0
98378,Assis,2,622.1,440.0
3053139,Assis,3,557.0,660.0
731531,Assis,2,736.4,820.0
2388319,Assis,2,563.1,460.0
2274947,Assis,3,631.8,880.0
3010017,Assis,2,588.1,660.0
1125175,Assis,2,557.4,640.0
397746,Assis,2,550.8,740.0
2958269,Assis,2,408.5,540.0
829703,Assis,2,705.6,880.0
2319990,Assis,2,514.3,900.0
1982430,Assis,2,497.3,680.0
1299457,Assis,3,752.8,920.0
2196791,Assis,2,489.8,680.0
3342511,Assis,3,388.4,0.0
2044438,Assis,2,626.1,720.0
1125592,Assis,2,406.9,480.0
3673553,Assis,3,635.7,800.0
877870,Assis,2,657.4,900.0
737593,Assis,3,712.1,800.0
1674490,Assis,2,383.0,720.0
1125166,Assis,2,433.6,480.0
2479329,Assis,3,634.6,600.0
2951100,Assis,2,535.1,540.0
2541841,Assis,2,678.4,760.0
2847472,Assis,2,432.6,580.0
2435899,Assis,3,581.2,620.0
1344120,Assis,2,497.5,720.0
1345186,Assis,2,446.8,640.0
1898993,Assis,2,594.7,540.0
1570942,Assis,2,483.6,580.0
2553028,Assis,3,737.9,840.0
906770,Assis,2,393.1,440.0
206977,Assis,2,523.4,460.0
1755261,Assis,2,486.6,460.0
2180113,Assis,2,416.6,640.0
1035948,Assis,2,394.1,380.0
1383580,Assis,2,551.3,760.0
1341268,Assis,2,539.3,920.0
1784526,Assis,2,581.4,580.0
2569354,Assis,3,385.3,740.0
2915398,Assis,2,599.7,520.0
157197,Assis,2,530.2,740.0
2809424,Assis,3,610.3,700.0
1965864,Assis,2,570.9,400.0
2359270,Assis,2,415.2,560.0
1371200,Assis,2,542.9,920.0
2753242,Assis,2,620.4,800.0
422917,Assis,3,444.5,760.0
2848615,Assis,2,527.5,500.0
915489,Assis,2,395.0,700.0
2402199,Assis,2,450.6,640.0
665390,Assis,3,714.5,880.0
1143684,Assis,2,407.8,520.0
1174470,Assis,2,386.7,0.0
3060587,Assis,3,416.8,400.0
3079858,Assis,2,449.9,680.0
4133793,Assis,3,410.8,720.0
1123429,Assis,2,484.7,540.0
2511812,Assis,2,525.7,560.0
3501111,Assis,2,581.0,520.0
2244689,Assis,3,531.6,620.0
1179661,Assis,2,432.4,600.0
77397,Assis,2,593.9,900.0
3860110,Assis,2,385.8,500.0
1963062,Assis,3,668.6,920.0
3253099,Assis,2,517.5,460.0
3126849,Assis,3,535.6,560.0
1247371,Assis,2,681.2,900.0
2716197,Assis,2,680.7,580.0
1234535,Assis,2,475.6,740.0
1011228,Assis,2,445.5,660.0
1076385,Assis,2,397.6,540.0
896435,Assis,2,429.7,640.0
1125132,Assis,2,533.0,580.0
463857,Assis,2,387.7,640.0
2441977,Assis,2,436.7,540.0
2445437,Assis,2,611.1,480.0
1908507,Assis,3,733.0,920.0
4041786,Assis,2,654.2,840.0
1563344,Assis,2,601.6,700.0
1411635,Assis,2,480.5,720.0
836063,Assis,3,788.0,920.0
3582161,Assis,2,590.1,460.0
3896118,Assis,3,394.5,400.0
2704557,Assis,2,399.1,560.0
520502,Assis,2,377.0,660.0
29491,Assis,2,411.1,560.0
3599009,Assis,3,454.6,780.0
2729093,Assis,2,406.9,560.0
2168159,Assis,3,505.1,680.0
3222637,Assis,2,484.8,0.0
1145942,Assis,2,422.7,460.0
2636552,Assis,3,771.0,840.0
3513216,Assis,2,443.1,480.0
1289035,Assis,2,694.1,680.0
4108141,Assis,2,449.5,400.0
1033420,Assis,2,548.1,860.0
667767,Assis,3,574.7,600.0
819921,Assis,3,578.6,920.0
1125206,Assis,2,543.7,640.0
1076245,Assis,2,665.4,900.0
2587762,Assis,3,452.4,420.0
1204135,Assis,2,656.8,760.0
3749230,Assis,2,663.4,640.0
3012836,Assis,2,491.4,660.0
189548,Assis,2,466.9,560.0
1234759,Assis,2,468.4,760.0
3005663,Assis,2,649.4,820.0
706405,Assis,2,491.2,640.0
2568260,Assis,2,484.6,820.0
3246987,Assis,2,616.0,620.0
750834,Assis,2,524.4,800.0
2254845,Assis,2,650.9,800.0
1437802,Assis,2,509.1,540.0
2529212,Assis,3,626.7,480.0
2480343,Assis,3,654.8,620.0
2855352,Assis,2,557.1,640.0
1709955,Assis,3,644.4,880.0
2042474,Assis,2,440.1,620.0
3487330,Assis,2,449.0,540.0
1815404,Assis,2,635.9,540.0
1630118,Assis,2,446.9,480.0
1971157,Assis,2,553.2,640.0
2753681,Assis,3,707.9,840.0
3975497,Assis,2,598.4,580.0
2004109,Assis,3,555.3,740.0
1145947,Assis,2,398.7,0.0
2387003,Assis,2,548.7,620.0
249705,Assis,2,414.0,800.0
1180418,Assis,2,386.2,500.0
1310307,Assis,3,663.8,700.0
2293700,Assis,3,619.9,880.0
1429759,Assis,2,389.8,340.0
87605,Assis,3,682.5,860.0
3560060,Assis,2,645.3,580.0
3248111,Assis,2,438.0,520.0
3215974,Assis,2,565.8,460.0
2195643,Assis,3,723.9,640.0
2706986,Assis,3,508.8,560.0
903730,Assis,2,422.4,480.0
3031201,Assis,3,672.1,600.0
1147943,Assis,2,661.5,600.0
1188003,Assis,2,638.3,620.0
2495977,Assis,2,687.0,780.0
3099038,Assis,2,480.9,760.0
1043182,Assis,2,401.4,620.0
2673427,Assis,2,535.6,740.0
3012876,Assis,2,381.2,600.0
2964195,Assis,2,612.2,680.0
1125594,Assis,2,514.1,760.0
2952855,Assis,3,678.7,840.0
3427408,Assis,3,615.5,580.0
2607818,Assis,2,432.3,620.0
430557,Assis,2,416.0,560.0
1740489,Assis,2,467.0,520.0
2501064,Assis,2,375.3,640.0
2426067,Assis,2,435.8,340.0
2304555,Assis,2,405.1,460.0
2327976,Assis,3,808.8,820.0
1764688,Assis,2,412.1,520.0
2286024,Assis,2,529.9,620.0
1198749,Assis,2,452.8,760.0
242859,Assis,2,477.9,880.0
1309182,Assis,2,559.4,640.0
3057021,Assis,2,653.5,600.0
3177956,Assis,3,814.0,940.0
1075465,Assis,2,553.1,480.0
2352734,Assis,3,714.9,920.0
2846150,Assis,3,633.8,860.0
3643217,Assis,2,452.2,460.0
642566,Assis,2,544.1,720.0
2822745,Assis,3,506.0,540.0
2583907,Assis,3,681.8,780.0
193923,Assis,2,537.3,680.0
1199086,Assis,2,530.6,680.0
3487139,Assis,3,466.9,700.0
3112917,Assis,2,724.5,700.0
91167,Assis,2,566.7,680.0
1663776,Assis,2,454.2,860.0
1381974,Assis,2,532.3,560.0
2068733,Assis,3,701.2,680.0
2863562,Assis,2,747.0,600.0
2840077,Assis,2,519.7,840.0
2297485,Assis,2,609.3,760.0
4086366,Assis,2,429.9,500.0
960399,Assis,2,589.3,820.0
2686187,Assis,2,510.1,540.0
2200157,Assis,2,549.1,620.0
1868535,Assis,2,541.8,600.0
2117222,Assis,3,864.1,900.0
1043532,Assis,2,692.3,900.0
2361827,Assis,2,522.8,500.0
311563,Assis,2,577.7,620.0
4224399,Assis,2,412.0,400.0
2369968,Assis,3,772.8,680.0
314911,Assis,2,536.1,720.0
2885600,Assis,2,484.4,320.0
3289124,Assis,2,441.4,560.0
221991,Assis,2,566.7,700.0
635263,Assis,3,662.5,900.0
1048907,Assis,2,472.9,440.0
894016,Assis,3,701.8,880.0
1799456,Assis,3,726.1,920.0
1456971,Assis,2,452.2,640.0
195937,Assis,2,537.3,640.0
1351130,Assis,2,408.3,800.0
1686889,Assis,2,458.0,640.0
1159796,Assis,2,549.7,640.0
861022,Assis,3,500.4,460.0
719166,Assis,3,465.9,560.0
1309024,Assis,2,416.2,560.0
2642423,Assis,3,692.3,900.0
2159155,Assis,2,427.0,420.0
3415857,Assis,3,542.1,840.0
2992139,Assis,2,641.3,460.0
811265,Assis,2,431.3,600.0
1726603,Assis,2,502.6,520.0
2169713,Assis,2,403.0,600.0
1220111,Assis,2,410.5,540.0
1125196,Assis,2,408.6,740.0
1117119,Assis,2,486.5,560.0
